,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of country-level lifetime risk (LTR) of maternal death 2000-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - April 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO Code,Country,UNICEF Programme Region,UNICEF Reporting Region,UNICEF Sub-Reporting Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CPV,Cabo Verde,West and Central Africa,Sub-Saharan Africa,West and Central Africa,241,276,318,360,405,460,487,534,599,674,666,742,859,916,970,1035,1087,1147,1240,1396,1094,1148,1561,1650
KHM,Cambodia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,61,67,76,86,94,102,109,114,124,136,150,166,181,195,206,214,224,232,240,247,229,204,249,295
CMR,Cameroon,West and Central Africa,Sub-Saharan Africa,West and Central Africa,27,28,28,29,29,30,30,31,32,33,34,36,40,43,46,49,52,55,59,63,68,65,82,89
CAN,Canada,Industrialized,North America,North America,8804,8266,8061,7750,7680,7043,6831,6526,6125,6032,6456,6484,6350,6540,6267,6389,6039,6023,5964,6183,4705,5655,5520,6911
CAF,Central African Republic,West and Central Africa,Sub-Saharan Africa,West and Central Africa,13,13,13,13,14,14,14,15,15,19,15,16,16,16,17,18,18,16,19,11,13,15,24,24
TCD,Chad,West and Central Africa,Sub-Saharan Africa,West and Central Africa,12,12,12,13,13,12,12,12,12,12,12,12,12,13,13,14,14,15,16,17,19,20,22,24
CHL,Chile,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,1550,1663,1807,1940,2079,2159,2261,2326,2423,2473,2746,3025,3335,3646,3952,4396,4981,5837,6230,6838,6665,6331,7278,9268
CHN,China,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,1140,1300,1406,1522,1599,1705,1791,1854,1782,1913,1978,2053,1942,2166,2234,2576,2602,2724,3452,3726,4830,5118,6411,7580
COL,Colombia,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,402,418,439,472,503,538,564,584,610,641,674,712,748,779,809,841,888,905,915,930,663,429,854,1085
COM,Comoros,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,43,47,49,53,55,58,60,62,66,69,73,77,82,88,94,99,106,112,119,125,129,122,143,151
COG,Congo,West and Central Africa,Sub-Saharan Africa,West and Central Africa,44,45,47,50,55,57,56,59,54,52,54,55,56,67,72,78,86,88,90,97,97,81,103,104
COK,Cook Islands,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,96716,119766,158960,204368,265370,268499,215779,233308,247290,256846,331799,341204,336187,336777,339688,340878,340619,326767,312933,303438,377018,438819,173330,550710
CRI,Costa Rica,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,1169,1235,1378,1468,1530,1607,1756,1730,1733,1823,1966,1949,2053,2215,2198,2300,2245,2296,2204,2598,2176,1816,2963,3404
CIV,Côte d'Ivoire,West and Central Africa,Sub-Saharan Africa,West and Central Africa,46,44,42,41,41,38,35,34,34,33,33,34,34,36,38,40,42,45,49,52,51,50,58,67
HRV,Croatia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,11087,11208,11602,11193,12068,11696,12663,12830,12528,12704,13641,15081,15558,17526,18237,21084,22046,23026,24429,23367,15775,6146,14660,27841
CUB,Cuba,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,1394,1501,1513,1598,1729,1884,2073,2046,1801,1647,1700,1657,1774,1789,1834,1841,1989,2065,2030,2075,2118,512,2146,2473
CYP,Cyprus,Industrialized,Europe and Central Asia,Western Europe,5576,6180,6730,6795,6799,6992,7182,7646,7340,7502,7530,7682,7473,7685,7127,6762,6386,6322,6092,5770,858,752,1400,5525
CZE,Czechia,Industrialized,Europe and Central Asia,Western Europe,14602,15255,16072,16357,16866,16239,16866,16667,16114,16550,18059,19694,20416,22033,22504,22630,21560,23092,22586,21844,21176,15325,26124,31604
PRK,Democratic People's Republic of Korea,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,380,391,406,722,746,779,762,773,785,832,853,865,869,874,888,897,899,910,921,950,945,873,934,933
COD,Democratic Republic of the Congo,West and Central Africa,Sub-Saharan Africa,West and Central Africa,28,28,28,28,28,28,27,27,27,27,28,28,29,29,30,31,32,33,33,34,35,34,38,41
DNK,Denmark,Industrialized,Europe and Central Asia,Western Europe,7116,7258,7421,7660,7855,8477,8745,8565,8707,9394,9906,11265,12487,13971,13663,14511,13411,14902,14798,16356,16919,8649,13061,20033
DJI,Djibouti,Middle East and North Africa,Sub-Saharan Africa,Eastern and Southern Africa,50,57,63,65,72,86,95,103,112,119,133,144,154,159,169,174,184,191,198,207,214,189,243,265
DMA,Dominica,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,699,735,853,911,953,985,957,1003,1050,1141,1167,1216,1161,1272,1185,1049,1371,1629,1667,1751,1538,661,1657,2052
DOM,Dominican Republic,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,425,483,497,491,465,448,446,431,409,396,417,427,443,437,423,400,392,403,394,363,361,293,364,369
ECU,Ecuador,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,254,275,299,327,351,371,393,420,436,448,470,492,542,616,674,704,731,769,786,809,565,573,802,1022
EGY,Egypt,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,536,575,611,648,691,727,762,791,827,864,897,948,979,1012,1083,1152,1303,1405,1654,1837,1142,894,1557,2223
SLV,El Salvador,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,635,705,850,950,1090,1158,1208,1237,1278,1251,1278,1251,1245,1186,1145,1118,1164,1196,1258,1344,1147,952,1454,1455
GNQ,Equatorial Guinea,West and Central Africa,Sub-Saharan Africa,West and Central Africa,46,48,52,56,60,62,65,67,70,73,76,78,82,87,91,95,99,103,108,114,116,116,130,140
ERI,Eritrea,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,27,32,32,37,36,38,39,41,43,44,46,49,52,55,57,60,64,67,71,75,80,79,90,94
EST,Estonia,Industrialized,Europe and Central Asia,Western Europe,3242,3643,3963,4834,5218,5272,5860,5444,6376,6886,8447,7927,9278,11395,10632,11001,9603,12939,12357,11134,12013,8472,11475,17634
ETH,Ethiopia,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,19,19,20,21,23,23,24,26,28,30,32,35,39,45,51,57,63,71,78,86,95,95,116,126
FJI,Fiji,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,726,749,716,734,758,788,811,827,857,894,951,999,941,985,1051,1079,1087,1221,1234,1281,1323,667,1451,1546
FIN,Finland,Industrialized,Europe and Central Asia,Western Europe,10133,10506,10356,10464,9428,8860,9651,9165,9091,8315,8439,9024,8502,8629,9843,9731,9793,9695,10083,9872,9501,9001,10126,11064
FRA,France,Industrialized,Europe and Central Asia,Western Europe,6520,6666,6771,6811,6877,6765,6479,6562,6252,6165,6276,6456,6608,6823,6872,7071,7212,7661,7610,7857,7542,7557,7794,9984
GAB,Gabon,West and Central Africa,Sub-Saharan Africa,West and Central Africa,126,143,153,174,165,135,129,139,152,151,164,160,139,104,91,105,117,137,144,143,135,107,127,120
GMB,Gambia,West and Central Africa,Sub-Saharan Africa,West and Central Africa,22,23,24,25,26,27,28,29,30,31,31,31,32,33,37,41,45,49,53,57,61,59,69,72
GEO,Georgia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1626,1609,1593,1771,1704,1345,1555,1288,1131,1001,1377,1553,1641,1648,1612,1713,1810,1968,2226,2536,1958,981,2959,3332
DEU,Germany,Industrialized,Europe and Central Asia,Western Europe,12305,13757,14364,15167,15671,16382,16582,16845,16697,17079,16943,17633,18110,18264,18750,18139,17179,18083,17868,18987,17670,16144,19261,21635
GHA,Ghana,West and Central Africa,Sub-Saharan Africa,West and Central Africa,46,48,52,56,58,60,62,65,66,68,69,70,72,75,82,84,91,98,104,113,118,115,129,133
GRC,Greece,Industrialized,Europe and Central Asia,Western Europe,22777,24620,25043,25328,26203,26783,25160,23983,22769,22274,21409,22129,21060,22385,20980,18506,17520,17103,17933,17793,12611,10070,9975,20207
GRD,Grenada,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,929,965,1051,1079,961,1168,1235,1222,1195,1224,1179,1173,1197,1206,1262,1284,1427,1564,1420,1352,1308,1292,1371,1450
GTM,Guatemala,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,127,133,144,152,158,160,177,191,200,210,220,238,253,268,274,275,284,304,315,337,368,314,416,436
GIN,Guinea,West and Central Africa,Sub-Saharan Africa,West and Central Africa,19,19,20,21,22,22,23,24,25,25,26,27,28,29,31,32,34,36,38,40,42,42,46,47
GNB,Guinea-Bissau,West and Central Africa,Sub-Saharan Africa,West and Central Africa,15,16,17,18,20,21,24,25,25,27,30,31,30,30,33,35,37,40,42,42,42,42,49,53
GUY,Guyana,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,185,202,211,222,231,230,230,243,250,262,273,284,289,298,316,327,338,355,384,364,369,216,491,554
HTI,Haiti,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,56,59,63,69,64,78,76,74,73,74,85,74,81,84,87,91,94,98,98,102,105,97,115,118
HND,Honduras,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,265,287,307,320,335,351,371,383,396,412,422,460,495,529,561,598,637,669,692,713,649,428,795,830
HUN,Hungary,Industrialized,Europe and Central Asia,Western Europe,6252,6676,6636,6934,7087,6656,6620,6197,6231,6250,6784,6455,6432,6409,6058,6007,5891,5762,5843,6119,4239,2619,5962,7233
ISL,Iceland,Industrialized,Europe and Central Asia,Western Europe,8191,8851,8005,10150,9517,10996,11674,12012,11760,10634,11170,14653,14425,14101,13938,15552,19148,21033,16189,15381,5250,10904,12942,22431
IND,India,South Asia,South Asia,South Asia,79,83,91,99,108,120,132,147,162,178,200,222,247,275,314,338,364,407,433,473,495,329,572,645
IDN,Indonesia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,127,134,144,149,149,154,157,162,169,174,177,183,193,212,228,244,261,282,296,312,277,229,353,377
IRN,Iran (Islamic Republic of),Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,1191,1315,1412,1502,1611,1671,1719,1760,1823,1894,1958,1986,2005,2035,2067,2131,2211,2374,2688,3135,1794,1243,3043,4179
IRQ,Iraq,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,143,154,169,174,181,190,181,189,209,211,207,206,221,235,258,285,298,337,372,385,462,387,513,465
IRL,Ireland,Industrialized,Europe and Central Asia,Western Europe,7288,7714,8178,9237,8998,9087,9349,9349,7969,8245,9069,8129,9073,10717,11701,12124,13574,14515,13386,15333,12374,11395,11028,20079
ISR,Israel,Industrialized,Middle East and North Africa,Middle East and North Africa,4288,5130,5730,6883,8020,8481,8722,9817,9952,9866,10344,10402,10528,11289,10684,11998,11133,11743,12934,13208,11850,11123,12130,15889
ITA,Italy,Industrialized,Europe and Central Asia,Western Europe,7942,8393,8687,10388,9732,10254,10834,11005,10829,10392,10503,10365,10472,10966,11700,11849,12279,12388,13280,14004,13487,13862,10515,16327
JAM,Jamaica,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,497,510,530,554,584,576,542,566,576,590,608,672,704,689,667,680,687,683,658,621,599,409,557,600
JPN,Japan,Industrialized,East Asia and Pacific,East Asia and Pacific,9373,10059,10642,11024,11310,11923,12185,12702,12773,13359,13830,14597,15231,15744,16400,17051,17847,18987,19569,20948,23117,24816,19537,35149
JOR,Jordan,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,405,428,445,461,492,521,583,533,534,551,571,600,618,716,751,801,816,883,957,1020,891,475,1086,1263
KAZ,Kazakhstan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,977,1078,1160,1192,1213,1272,1313,1362,1432,1653,1863,2126,2369,2591,2717,2930,3044,3266,3267,3380,1932,1466,2622,3955
KEN,Kenya,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,43,45,45,47,48,47,46,44,43,43,44,46,47,51,54,57,60,64,65,70,70,71,79,82
KIR,Kiribati,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,216,235,254,272,271,275,274,275,273,275,267,276,286,309,323,332,344,339,350,342,346,256,367,403
KWT,Kuwait,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,2906,2972,3057,3111,3148,3388,3735,4113,4434,4732,5120,5577,5687,6140,6085,6612,6809,6770,7521,8016,1851,980,9138,9387
KGZ,Kyrgyzstan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,524,536,529,521,520,516,485,485,486,483,456,454,466,502,510,551,617,681,611,633,595,500,834,881
LAO,Lao People's Democratic Republic,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,37,41,44,47,51,58,63,70,77,87,98,115,131,151,173,187,208,228,247,267,282,276,326,356
LVA,Latvia,Industrialized,Europe and Central Asia,Western Europe,2842,3014,3257,2995,3281,3206,2931,2792,2987,3277,3798,3862,3918,3116,3139,3043,2822,2924,3084,3267,3605,1824,2839,4958
LBN,Lebanon,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,1678,1828,2009,2224,2447,2682,2757,3045,3151,3204,3139,3109,3164,3510,3184,2888,2920,2959,3060,3134,1764,905,3229,3293
LSO,Lesotho,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,75,68,65,63,67,61,50,37,27,24,25,26,32,37,44,53,61,68,67,73,67,63,77,78
LBR,Liberia,West and Central Africa,Sub-Saharan Africa,West and Central Africa,23,25,26,24,29,30,29,29,29,29,28,29,28,29,27,29,33,33,33,34,36,37,39,40
LBY,Libya,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,519,522,530,539,546,545,547,549,550,543,529,431,506,504,485,508,538,596,641,680,638,475,803,856
LTU,Lithuania,Industrialized,Europe and Central Asia,Western Europe,5280,5819,7058,6749,7602,7010,6670,6564,6726,7598,7838,7705,7845,7846,8308,7208,7584,7433,8017,8172,9658,9166,9807,12355
LUX,Luxembourg,Industrialized,Europe and Central Asia,Western Europe,3635,3577,4008,4829,4181,4336,4393,5383,5590,4769,4300,5758,5612,4810,5881,6008,6000,5260,8469,6554,13196,12899,12714,6680
